date,Open,High,Low,Close,Volume
2020-01-17,125.09,126.43,124.92,126.31,1054148.0
2020-01-21,126.44,127.43,125.99,127.36,1110816.0
2020-01-22,128.0,128.48,127.42,127.89,895866.0
2020-01-23,127.9,130.03,127.57,129.95,1278332.0
2020-01-24,129.8,131.19,129.78,130.73,874994.0
2020-01-27,130.67,131.49,129.08,129.55,1134885.0
2020-01-28,129.63,130.26,128.71,129.99,1165352.0
2020-01-29,130.13,130.75,129.42,130.55,885303.0
2020-01-30,130.5,131.79,130.02,131.72,769653.0
2020-01-31,131.7,132.02,130.67,131.52,2408274.0
2020-02-03,131.91,132.39,131.45,132.19,813358.0
2020-02-04,132.14,132.88,130.42,130.56,953595.0
2020-02-05,130.37,131.495,130.0788,130.56,1361349.0
2020-02-06,130.63,131.68,130.62,131.41,1127336.0
2020-02-07,131.8,132.57,131.7,131.94,1371634.0
2020-02-10,132.14,132.93,131.7,132.89,696716.0
2020-02-11,133.07,133.83,132.58,132.89,1035259.0
2020-02-12,131.28,132.19,130.56,131.56,915702.0
2020-02-13,131.67,133.5,131.18,133.24,738361.0
2020-02-14,133.64,134.49,133.08,134.13,1639020.0
2020-02-18,134.71,135.46,133.85,134.78,1455244.0
2020-02-19,135.0,135.55,132.9,133.09,1633132.0
2020-02-20,133.02,133.08,130.84,131.45,1933666.0
2020-02-21,131.37,132.09,129.78,129.96,2846272.0
2020-02-24,129.77,131.08,129.27,129.74,1559604.0
2020-02-25,129.84,130.0,125.79,126.3,1599175.0
2020-02-26,126.26,127.22,125.6,125.65,1529870.0
2020-02-27,125.29,125.49,120.69,120.8,2553800.0
2020-02-28,118.78,118.78,113.89,116.91,2735526.0
2020-03-02,117.4,124.38,116.9,124.12,1950888.0
2020-03-03,124.48,126.74,121.09,121.89,1980000.0
2020-03-04,123.61,128.75,123.61,128.36,1505994.0
2020-03-05,126.05,128.16,124.43,127.46,2199969.0
2020-03-06,123.96,125.0,120.45,124.28,1877638.0
2020-03-09,118.18,118.92,114.01,115.4,3271658.0
2020-03-10,117.36,119.57,113.66,119.29,2819893.0
2020-03-11,116.36,116.61,109.53,111.62,1765423.0
2020-03-12,105.44,107.43,98.45,101.64,2871647.0
2020-03-13,106.64,107.28,96.62,102.93,2593579.0
2020-03-16,94.58,96.04,85.84,86.74,3434995.0
2020-03-17,88.71,99.85,87.39,99.62,3469390.0
2020-03-18,93.7,95.43,79.51,86.41,3602122.0
2020-03-19,85.6,88.16,77.59,84.05,2802081.0
2020-03-20,85.72,89.58,79.07,79.99,2493841.0
2020-03-23,78.96,82.5,75.19,78.18,2180248.0
2020-03-24,81.61,87.25,79.6,86.33,1860519.0
2020-03-25,86.06,92.99,83.77,88.96,1921966.0
2020-03-26,89.63,98.07,89.12,96.71,1672689.0
2020-03-27,92.76,100.6,92.4,97.34,1835630.0
2020-03-30,98.37,101.19,95.32,100.07,1826006.0
2020-03-31,98.71,100.04,93.31,93.97,2620290.0
2020-04-01,89.97,91.7,84.15,85.58,1527306.0
2020-04-02,83.45,89.65,82.81,88.2,2064958.0
2020-04-03,87.2,89.16,82.94,83.38,2365653.0
2020-04-06,87.41,93.99,86.17,93.0,1300240.0
2020-04-07,96.1,96.67,92.64,93.65,1360258.0
2020-04-08,93.82,101.57,93.82,100.52,1429983.0
2020-04-09,102.08,107.22,101.63,102.91,1497443.0
2020-04-13,101.66,101.66,97.14,97.89,1762610.0
2020-04-14,99.91,101.3,98.81,100.66,1104584.0
2020-04-15,97.82,99.15,96.86,97.31,1414636.0
2020-04-16,97.56,98.21,95.44,97.16,1727145.0
2020-04-17,99.01,101.78,98.16,101.27,1320939.0
2020-04-20,99.83,100.1,95.83,96.45,1220842.0
2020-04-21,94.71,96.13,93.29,94.66,1257048.0
2020-04-22,96.55,100.16,95.33,99.48,1771904.0
2020-04-23,99.41,100.34,96.83,96.97,1179726.0
2020-04-24,97.09,98.16,95.68,97.53,1538140.0
2020-04-27,99.75,102.36,99.43,101.31,1905766.0
2020-04-28,103.55,104.96,99.07,99.67,1135610.0
2020-04-29,101.76,101.76,98.21,98.38,986735.0
2020-04-30,97.93,98.0,93.97,95.51,1497526.0
2020-05-01,94.56,94.56,92.1,93.57,987508.0
2020-05-04,93.37,96.02,92.26,95.42,1221985.0
2020-05-05,95.0,99.61,95.0,96.75,1353634.0
2020-05-06,96.25,96.48,92.24,92.67,1038841.0
2020-05-07,93.48,94.99,92.62,92.77,1185288.0
2020-05-08,94.01,95.66,92.92,95.01,1626957.0
2020-05-11,96.77,97.17,93.72,96.22,2678784.0
2020-05-12,96.24,96.72,94.67,96.0,2433200.0
2020-05-13,95.29,96.0,93.3,94.11,2299580.0
2020-05-14,92.94,95.18,90.99,94.94,1573941.0
2020-05-15,94.45,95.47,92.5,94.98,2871199.0
2020-05-18,97.68,100.46,97.51,99.42,1264297.0
2020-05-19,98.94,99.32,96.56,96.56,841989.0
2020-05-20,97.57,98.53,96.86,97.59,751422.0
2020-05-21,97.51,98.32,97.2,97.63,1129153.0
2020-05-22,97.55,98.24,97.06,97.96,955544.0
2020-05-26,100.29,101.25,99.53,99.74,1120997.0
2020-05-27,101.33,101.48,98.27,99.47,811983.0
2020-05-28,100.95,103.38,100.41,103.07,1201858.0
2020-05-29,102.75,103.12,100.97,101.82,1820284.0
2020-06-01,101.62,103.8,101.25,102.68,943234.0
2020-06-02,102.72,103.58,101.48,103.53,1178725.0
2020-06-03,104.11,105.28,103.63,104.04,972451.0
2020-06-04,103.39,103.7,100.05,101.23,1038982.0
2020-06-05,103.82,106.48,103.09,103.73,1058736.0
2020-06-08,103.8,106.3,103.12,105.89,1133001.0
2020-06-09,104.49,104.54,102.52,103.34,1001439.0
2020-06-10,103.81,104.27,101.78,102.19,1092927.0
2020-06-11,100.01,100.08,95.99,96.77,1499234.0
