date,Open,High,Low,Close,Volume
2019-11-27,94.41,94.75,93.75,94.12,865591.0
2019-11-29,94.89,95.0,93.82,94.16,700627.0
2019-12-02,94.82,95.36,93.27,94.47,1198935.0
2019-12-03,94.2,94.64,92.65,94.1,1451482.0
2019-12-04,93.81,95.389,93.22,95.0,1344811.0
2019-12-05,95.14,95.45,93.5707,93.99,980747.0
2019-12-06,94.54,94.85,93.36,94.48,941452.0
2019-12-09,94.6,95.44,94.36,94.79,960893.0
2019-12-10,94.64,96.59,94.16,95.72,1186080.0
2019-12-11,96.02,96.79,94.47,94.93,946216.0
2019-12-12,94.67,95.08,92.79,92.85,3144554.0
2019-12-13,91.58,92.53,89.16,91.51,1849703.0
2019-12-16,91.61,93.35,91.61,92.66,1720533.0
2019-12-17,93.43,93.43,90.97,91.31,1421183.0
2019-12-18,90.84,91.99,90.7,91.18,1445634.0
2019-12-19,90.9,91.54,90.9,91.14,1488616.0
2019-12-20,92.01,92.04,89.41,90.1,4175514.0
2019-12-23,90.68,90.69,88.36,90.16,2324019.0
2019-12-24,90.47,91.5368,89.9334,91.43,526364.0
2019-12-26,91.2,91.52,88.48,88.785,1057757.0
2019-12-27,89.17,89.224,87.29,88.39,1296292.0
2019-12-30,88.27,88.81,87.613,88.05,733046.0
2019-12-31,87.7,88.15,86.9711,87.32,929834.0
2020-01-02,86.91,87.97,85.36,85.97,1693476.0
2020-01-03,76.15,78.1,75.1573,77.9,5529476.0
2020-01-06,77.27,77.425,75.52,77.34,2817215.0
2020-01-07,77.28,77.62,76.16,77.14,1536063.0
2020-01-08,77.29,77.45,76.08,76.53,1698561.0
2020-01-09,76.5,78.69,76.5,77.95,1977724.0
2020-01-10,77.7,78.25,76.315,76.47,1204044.0
2020-01-13,76.58,77.92,75.81,77.1,1931335.0
2020-01-14,77.38,81.64,77.1,81.47,2830830.0
2020-01-15,81.12,82.38,80.285,80.54,1105093.0
2020-01-16,81.08,81.57,80.29,80.62,1343488.0
2020-01-17,80.98,81.11,80.05,80.5,1418531.0
2020-01-21,80.17,80.255,78.46,78.65,1216759.0
2020-01-22,78.83,79.53,78.22,78.48,845417.0
2020-01-23,78.57,78.93,77.45,78.24,1167474.0
2020-01-24,78.15,78.76,75.83,76.74,1299022.0
2020-01-27,75.68,76.43,75.24,76.07,1097806.0
2020-01-28,79.0,79.0568,75.37,76.46,2016290.0
2020-01-29,76.09,76.345,74.82,74.99,1270668.0
2020-01-30,74.55,74.55,72.97,73.14,1481950.0
2020-01-31,72.55,73.6,71.84,73.07,1480098.0
2020-02-03,73.95,74.1,72.57,72.94,1258258.0
2020-02-04,73.73,74.52,73.0,73.88,1066778.0
2020-02-05,74.56,77.33,74.5,76.0,1384659.0
2020-02-06,76.19,76.19,74.6583,75.81,906759.0
2020-02-07,75.66,75.735,74.08,74.14,843084.0
2020-02-10,73.66,75.26,73.51,75.11,849740.0
2020-02-11,75.28,76.78,75.16,76.14,985510.0
2020-02-12,76.4,77.16,75.25,75.83,2120290.0
2020-02-13,77.7189,78.44,75.01,78.05,2227536.0
2020-02-14,78.01,78.46,77.45,78.45,1370174.0
2020-02-18,79.0,79.33,78.13,79.3,1209877.0
2020-02-19,79.69,82.59,79.64,82.42,1895420.0
2020-02-20,82.0,83.12,80.93,82.77,2653348.0
2020-02-21,82.28,82.74,80.38,80.89,1413961.0
2020-02-24,79.88,80.31,77.42,78.87,1366786.0
2020-02-25,79.06,79.69,76.77,77.32,2174593.0
2020-02-26,78.06,79.22,76.97,77.97,1442275.0
2020-02-27,76.95,78.38,75.635,75.84,1641737.0
2020-02-28,73.69,76.44,73.5,75.41,2525548.0
2020-03-02,75.73,79.1,75.35,79.06,2261393.0
2020-03-03,78.55,79.77,76.63,77.8,1939411.0
2020-03-04,79.15,80.24,77.85,80.16,2043844.0
2020-03-05,78.35,80.15,78.0,78.61,1430221.0
2020-03-06,75.18,76.9,74.82,76.04,1800123.0
2020-03-09,72.47,73.49,71.02,71.09,2063140.0
2020-03-10,72.69,74.32,70.271,74.31,2933068.0
2020-03-11,72.18,73.89,70.97,71.9,2347053.0
2020-03-12,68.15,71.54,67.93,68.02,4007551.0
2020-03-13,69.55,74.0,69.55,73.84,3552462.0
2020-03-16,67.95,75.34,67.13,71.6,3589049.0
2020-03-17,73.11,76.4761,69.865,70.37,3429631.0
2020-03-18,67.9,72.87,63.35,66.9,2667806.0
2020-03-19,66.3,67.81,63.95,66.51,2650695.0
2020-03-20,67.26,72.42,66.51,66.96,2726548.0
2020-03-23,67.7,68.5987,62.48,63.18,2447223.0
2020-03-24,66.1895,68.03,63.29,67.43,2793955.0
2020-03-25,66.75,71.48,65.71,69.59,2500098.0
2020-03-26,68.7,73.28,68.7,73.05,1855992.0
2020-03-27,71.2,72.16,68.55,68.96,1463870.0
2020-03-30,70.2,72.53,69.25,72.17,2023231.0
2020-03-31,71.44,73.89,70.52,73.23,1695265.0
2020-04-01,72.05,74.84,71.53,74.18,1966435.0
2020-04-02,73.51,77.415,73.51,77.07,1513547.0
2020-04-03,77.59,79.49,77.24,78.59,2222256.0
2020-04-06,80.55,85.25,80.25,85.11,3234069.0
2020-04-07,86.21,87.85,85.13,86.66,2971522.0
2020-04-08,86.74,88.59,85.945,87.75,2086107.0
2020-04-09,87.34,87.99,85.169,86.81,1810463.0
2020-04-13,85.68,88.24,85.68,88.01,1452276.0
2020-04-14,88.24,91.74,88.24,91.28,1937720.0
2020-04-15,89.22,91.79,88.93,90.95,1642214.0
2020-04-16,91.99,96.14,91.425,95.66,3501253.0
2020-04-17,97.8276,100.27,96.1556,100.0,3859345.0
2020-04-20,99.8,102.42,99.3,101.19,2422789.0
2020-04-21,99.5,100.75,97.9,99.46,2620919.0
2020-04-22,100.29,101.99,99.56,100.97,1612408.0
2020-04-23,101.41,104.2,100.545,101.9,1262702.0
2020-04-24,102.74,103.96,101.61,103.48,1535459.0
2020-04-27,104.0,104.81,102.4,102.98,1249723.0
2020-04-28,104.28,104.36,96.7,97.67,2779248.0
2020-04-29,98.14,98.94,95.18,95.96,1779975.0
2020-04-30,95.69,98.35,95.03,97.66,1564337.0
2020-05-01,97.25,98.21,96.2,97.3,1279344.0
2020-05-04,97.71,101.3777,97.71,100.99,1502148.0
2020-05-05,99.35,100.52,97.01,98.82,1850059.0
2020-05-06,96.84,97.87,95.38,96.08,1556924.0
2020-05-07,97.16,97.82,95.6,96.47,1327838.0
2020-05-08,96.88,96.93,94.67,95.92,1198601.0
2020-05-11,96.09,99.65,95.66,99.33,1534449.0
2020-05-12,100.0,100.14,96.74,96.74,1618089.0
2020-05-13,96.98,98.66,95.33,96.45,1648886.0
2020-05-14,95.85,96.51,93.8608,94.83,1085544.0
2020-05-15,94.09,96.15,93.22,96.12,1228817.0
2020-05-18,97.88,98.81,96.26,96.46,1160206.0
2020-05-19,97.33,97.48,94.36,94.92,961686.0
2020-05-20,95.43,98.49,93.64,98.32,1765947.0
2020-05-21,98.49,98.925,96.9659,98.68,1447271.0
2020-05-22,97.67,99.8,97.45,99.37,1320517.0
2020-05-26,100.3862,101.875,98.11,98.68,3190272.0
2020-05-27,98.73,99.8094,96.62,98.22,2432560.0
2020-05-28,98.36,102.98,98.02,100.55,1659512.0
2020-05-29,101.21,102.57,99.57,101.91,3134069.0
2020-06-01,101.7,102.58,100.52,101.75,1345205.0
2020-06-02,101.12,102.17,99.17,100.9,1902041.0
2020-06-03,100.81,100.81,97.55,98.83,1630398.0
2020-06-04,98.19,99.345,93.48,93.8,1528729.0
2020-06-05,93.17,96.32,90.17,93.51,1599685.0
2020-06-08,91.87,94.6,91.05,94.58,1387509.0
2020-06-09,95.09,95.17,92.5,93.0,1199207.0
2020-06-10,94.19,95.044,92.97,93.04,1318323.0
2020-06-11,93.39,93.88,90.68,90.81,1934597.0
2020-06-12,92.35,93.69,89.96,92.07,1079781.0
2020-06-15,90.49,93.95,90.47,93.51,1281635.0
2020-06-16,94.45,95.61,93.31,95.53,1175191.0
2020-06-17,96.24,97.27,95.0,96.28,962270.0
2020-06-18,96.28,97.93,95.86,97.36,999511.0
2020-06-19,98.34,106.26,97.83,105.4,3711054.0
2020-06-22,104.84,109.14,104.39,108.93,2497434.0
2020-06-23,109.46,110.25,106.03,106.52,1945575.0
2020-06-24,105.65,107.86,104.0,104.33,1636922.0
2020-06-25,105.08,106.07,103.645,105.95,1315363.0
2020-06-26,105.3,105.565,100.8,101.43,2124019.0
2020-06-29,101.48,103.87,100.08,102.48,1075700.0
2020-06-30,102.53,104.53,101.67,103.97,1131600.0
2020-07-01,103.99,104.62,101.33,102.65,1312900.0
2020-07-02,102.82,107.38,102.52,106.47,1439100.0
2020-07-06,106.58,108.48,105.52,107.79,1365000.0
2020-07-07,107.73,110.37,106.87,108.65,1601900.0
2020-07-08,108.56,109.55,107.37,108.27,735600.0
2020-07-09,108.0,109.19,105.49,107.87,1020100.0
2020-07-10,107.74,108.17,104.54,104.76,794600.0
2020-07-13,104.52,105.0,100.02,100.56,1478900.0
2020-07-14,100.2,103.23,97.83,103.02,1685100.0
2020-07-15,103.26,104.97,102.59,104.25,1790500.0
2020-07-16,103.83,103.83,99.85,101.58,938700.0
2020-07-17,102.32,104.58,100.96,104.11,2503600.0
2020-07-20,105.19,110.01,105.01,109.69,1382357.0
2020-07-21,109.67,109.67,106.46,106.65,1048087.0
2020-07-22,107.06,107.74,104.045,105.37,804246.0
2020-07-23,106.33,107.09,101.405,101.68,1154260.0
2020-07-24,100.72,101.42,98.285,99.42,852273.0
2020-07-27,100.15,102.68,100.15,102.09,1038171.0
2020-07-28,101.76,102.3185,100.2,100.61,732234.0
2020-07-29,101.09,101.55,97.8,98.04,986295.0
2020-07-30,97.32,100.97,97.132,100.51,1431047.0
2020-07-31,100.3892,101.15,98.06,98.76,1115820.0
2020-08-03,100.95,102.605,98.9,101.79,1943142.0
2020-08-04,101.0,101.96,96.89,99.95,1976367.0
2020-08-05,100.0,101.0,96.25,97.62,1390020.0
2020-08-06,97.8,98.5,96.92,97.25,964226.0
2020-08-07,97.25,98.35,95.93,96.93,760538.0
2020-08-10,96.76,97.16,92.94,94.32,1208191.0
2020-08-11,94.12,95.06,92.84,92.98,1571617.0
2020-08-12,93.05,94.8,93.01,94.22,738975.0
2020-08-13,94.59,95.59,94.28,95.56,513235.0
2020-08-14,95.62,96.42,94.28,94.87,900720.0
2020-08-17,95.3,97.8,95.3,97.48,1056206.0
2020-08-18,97.51,97.97,96.15,97.56,962723.0
2020-08-19,96.96,98.2,96.16,96.27,1208303.0
2020-08-20,96.05,96.1,94.48,95.53,921676.0
