date,Open,High,Low,Close,Volume
2020-03-03,60.92,62.88,58.87,59.61,5118143.0
2020-03-04,60.76,62.19,59.35,62.17,3244159.0
2020-03-05,60.47,61.26,59.35,59.93,3893348.0
2020-03-06,57.75,58.85,57.01,58.24,5364392.0
2020-03-09,55.06,55.97,53.46,53.96,7526393.0
2020-03-10,55.59,56.22,52.92,55.78,6703342.0
2020-03-11,54.14,55.37,52.42,53.14,6122881.0
2020-03-12,49.69,52.23,47.75,48.98,7702013.0
2020-03-13,51.61,52.7,48.69,52.62,5853608.0
2020-03-16,46.73,47.72,43.01,43.58,6489802.0
2020-03-17,44.54,50.65,43.67,50.1,6919521.0
2020-03-18,47.15,49.93,45.79,47.47,7214397.0
2020-03-19,46.63,47.77,44.23,46.49,5650566.0
2020-03-20,46.32,48.46,43.67,44.1,6541317.0
2020-03-23,44.27,44.74,40.01,41.61,8152757.0
2020-03-24,43.68,46.5,43.08,46.41,5853370.0
2020-03-25,46.0,49.36,45.49,47.69,4920955.0
2020-03-26,48.0,50.45,47.43,49.82,5291127.0
2020-03-27,47.62,48.49,46.28,46.66,5159271.0
2020-03-30,47.4,47.93,46.33,47.38,6230160.0
2020-03-31,47.02,48.46,46.16,46.47,5228544.0
2020-04-01,44.68,45.08,42.14,42.51,5490452.0
2020-04-02,42.3,45.0,42.2,44.29,3819680.0
2020-04-03,43.97,44.72,43.01,43.4,3225831.0
2020-04-06,45.81,48.7,45.39,48.45,5659227.0
2020-04-07,50.0,50.4,47.61,47.8,4056078.0
2020-04-08,48.45,51.79,47.76,51.39,5382198.0
2020-04-09,51.92,55.25,51.92,54.28,6208818.0
2020-04-13,53.51,53.72,52.05,52.7,3698925.0
2020-04-14,53.9,54.15,53.03,54.07,5486598.0
2020-04-15,52.69,52.79,51.13,51.94,3385101.0
2020-04-16,52.06,52.89,50.54,51.47,3551138.0
2020-04-17,52.7,53.91,52.59,53.81,5052631.0
2020-04-20,52.36,53.42,51.14,52.53,4955549.0
2020-04-21,51.3,52.51,50.67,50.99,4115917.0
2020-04-22,52.04,52.59,51.33,52.26,3591104.0
2020-04-23,52.41,53.72,52.41,52.65,2708916.0
2020-04-24,52.6,54.12,52.4,53.81,4056600.0
2020-04-27,54.39,56.17,54.36,56.04,4324893.0
2020-04-28,57.14,58.02,56.48,56.53,3728890.0
2020-04-29,58.13,59.7,57.78,59.23,3707175.0
2020-04-30,58.41,58.77,57.3,58.02,4275314.0
2020-05-01,56.89,57.05,56.11,56.5,2956213.0
2020-05-04,55.77,56.58,55.13,56.39,3566221.0
2020-05-05,56.8,57.46,56.36,57.14,3362615.0
2020-05-06,57.73,58.26,56.66,57.59,3939149.0
2020-05-07,58.31,59.23,58.31,58.76,3869227.0
2020-05-08,55.0,57.56,54.24,57.16,7785161.0
2020-05-11,56.32,56.36,54.62,55.55,3688056.0
2020-05-12,55.25,55.74,53.21,53.21,3603270.0
2020-05-13,52.64,52.67,48.98,49.48,5833991.0
2020-05-14,49.14,50.78,47.39,50.74,5218347.0
2020-05-15,49.86,50.28,48.98,50.18,4724862.0
2020-05-18,52.09,53.46,51.91,53.14,3686502.0
2020-05-19,52.51,52.9,51.32,51.48,3415263.0
2020-05-20,52.17,53.59,52.0,52.56,2866697.0
2020-05-21,52.44,52.79,51.71,51.74,2278715.0
2020-05-22,52.02,52.04,50.93,51.45,2718043.0
2020-05-26,53.07,53.9,52.83,53.26,3632820.0
2020-05-27,54.31,55.41,53.98,55.35,3709677.0
2020-05-28,55.61,55.89,53.59,53.7,3031148.0
2020-05-29,53.59,53.6,52.23,53.0,6450267.0
2020-06-01,53.0,53.33,52.48,52.85,3203732.0
2020-06-02,53.57,53.57,52.89,53.3,3079352.0
2020-06-03,53.72,55.44,53.52,55.35,4428896.0
2020-06-04,55.06,55.74,54.53,55.6,2349314.0
2020-06-05,56.96,59.22,56.55,57.82,4945980.0
2020-06-08,58.09,58.92,58.09,58.58,2706219.0
2020-06-09,58.0,58.0,56.64,57.19,2364906.0
2020-06-10,57.86,58.39,56.68,57.53,2811039.0
2020-06-11,56.08,56.23,53.62,53.66,3404444.0
2020-06-12,54.35,55.47,53.48,54.8,2474651.0
2020-06-15,52.59,55.1,52.5,54.67,2724204.0
2020-06-16,56.2,57.05,54.83,55.37,2685608.0
2020-06-17,55.88,56.05,54.71,55.49,2234968.0
2020-06-18,54.66,55.2,53.9,54.89,2570650.0
2020-06-19,56.0,56.01,53.91,54.16,5365021.0
2020-06-22,53.92,54.53,53.16,53.85,2388699.0
2020-06-23,54.51,55.44,54.02,55.2,3103277.0
2020-06-24,54.76,54.89,53.77,53.8,4597212.0
2020-06-25,54.03,55.67,53.99,55.59,3854683.0
2020-06-26,55.37,55.59,54.59,55.21,3743941.0
2020-06-29,55.77,56.52,54.99,56.49,2907251.0
2020-06-30,56.59,57.55,56.27,56.82,3845031.0
2020-07-01,57.0,57.43,55.95,56.42,2968048.0
2020-07-02,57.01,57.68,56.01,56.08,3123837.0
2020-07-06,57.0,57.09,56.09,56.26,2203022.0
2020-07-07,55.52,56.4,55.36,55.85,2604593.0
2020-07-08,56.09,56.36,55.22,55.7,1783486.0
2020-07-09,55.67,55.7,54.57,55.28,3043120.0
2020-07-10,55.05,55.88,54.92,55.78,2037889.0
2020-07-13,56.44,57.72,56.16,56.46,3415264.0
2020-07-14,56.02,56.55,55.18,56.47,2404130.0
2020-07-15,58.0,60.4,58.0,59.67,4574878.0
2020-07-16,60.9,61.7,60.5,61.05,5221047.0
2020-07-17,61.37,61.77,60.8,61.43,3011453.0
2020-07-20,61.36,62.01,61.05,61.71,1977869.0
2020-07-21,62.25,62.91,61.4,61.62,2385902.0
2020-07-22,61.63,62.4099,61.28,61.96,3036926.0
2020-07-23,62.1617,62.56,61.79,62.08,2515242.0
2020-07-24,62.18,62.33,61.455,61.8,2677980.0
2020-07-27,61.69,63.665,61.29,63.43,2997383.0
2020-07-28,63.42,63.84,62.58,62.64,3155019.0
2020-07-29,63.07,65.2,62.68,64.79,4818264.0
2020-07-30,68.92,69.49,67.0,69.18,6495271.0
2020-07-31,68.79,69.0,66.99,68.32,3646901.0
2020-08-03,66.85,68.12,66.67,68.04,3398170.0
2020-08-04,67.17,67.99,66.87,67.92,2963068.0
2020-08-05,68.14,68.675,67.16,67.43,2697270.0
2020-08-06,67.49,67.73,66.665,67.58,2307649.0
2020-08-07,67.2,67.645,66.695,67.48,2054490.0
2020-08-10,67.36,67.48,66.6131,67.11,2338784.0
2020-08-11,67.29,67.575,66.27,66.53,2302548.0
2020-08-12,66.96,67.62,66.89,66.98,2699002.0
2020-08-13,66.32,67.295,66.15,66.9,1531481.0
2020-08-14,66.49,67.275,66.0,66.93,1289343.0
2020-08-17,67.25,67.84,66.95,67.54,1768655.0
2020-08-18,67.6,67.88,67.0,67.22,1535440.0
2020-08-19,67.3,67.67,66.76,66.89,1935478.0
2020-08-20,66.12,66.71,66.02,66.3,1315338.0
