date,Open,High,Low,Close,Volume
2019-10-11,224.13,227.68,222.32,224.16,337673.0
2019-10-14,223.41,225.79,223.17,225.26,258496.0
2019-10-15,225.8,229.2,225.22,226.82,275624.0
2019-10-16,226.0,226.0,221.455,222.18,426114.0
2019-10-17,224.03,224.59,220.64,220.87,361831.0
2019-10-18,220.21,222.73,216.1,218.43,458867.0
2019-10-21,219.24,220.91,218.01,218.78,295744.0
2019-10-22,220.09,220.92,214.195,214.32,542406.0
2019-10-23,215.43,218.12,213.67,216.08,358121.0
2019-10-24,217.85,221.8,217.0,221.52,370079.0
2019-10-25,221.12,223.22,219.94,220.25,298282.0
2019-10-28,221.43,224.4603,220.315,223.63,338251.0
2019-10-29,222.43,225.55,222.0,222.3,294788.0
2019-10-30,223.08,225.42,221.13,225.19,274609.0
2019-10-31,224.34,225.0267,219.65,220.15,417570.0
2019-11-01,222.38,225.125,219.49,220.0,792697.0
2019-11-04,221.61,222.72,217.0,217.47,563368.0
2019-11-05,218.07,220.44,217.36,217.96,555423.0
2019-11-06,217.51,219.7,216.55,218.73,483806.0
2019-11-07,210.0,228.03,206.725,225.22,739135.0
2019-11-08,223.95,224.945,221.83,224.31,597404.0
2019-11-11,223.69,228.4,222.65,227.35,328143.0
2019-11-12,227.39,231.3,227.31,230.21,413466.0
2019-11-13,228.67,229.465,227.0,229.0,442114.0
2019-11-14,227.92,230.72,227.78,229.37,282762.0
2019-11-15,230.13,235.585,229.16,235.15,621957.0
2019-11-18,234.6,239.84,234.01,238.67,685243.0
2019-11-19,240.0,243.36,239.48,242.42,498865.0
2019-11-20,241.54,246.7,241.54,245.49,507423.0
2019-11-21,246.37,247.38,244.93,246.38,606221.0
2019-11-22,246.72,248.32,244.3,246.38,417528.0
2019-11-25,248.05,255.18,246.92,249.42,452932.0
2019-11-26,249.81,252.66,248.435,252.48,406152.0
2019-11-27,253.84,255.55,251.48,255.45,375042.0
2019-11-29,254.08,256.36,254.08,254.69,317266.0
2019-12-02,254.81,255.44,250.26,250.7,787536.0
2019-12-03,245.07,250.46,243.01,250.37,741032.0
2019-12-04,251.84,253.846,251.08,252.14,579134.0
2019-12-05,252.39,254.47,251.17,252.99,485502.0
2019-12-06,254.86,256.92,253.72,256.63,368866.0
2019-12-09,255.82,258.52,254.91,255.08,1146306.0
2019-12-10,254.37,256.7,251.5,252.57,578309.0
2019-12-11,251.74,253.515,248.99,251.63,473972.0
2019-12-12,247.83,251.25,246.39,251.02,621948.0
2019-12-13,251.0,254.68,250.71,253.93,448481.0
2019-12-16,257.18,259.56,255.54,257.94,476948.0
2019-12-17,258.41,258.6915,255.2136,257.07,734763.0
2019-12-18,257.53,258.82,254.425,254.67,579220.0
2019-12-19,255.43,257.035,254.38,255.75,505960.0
2019-12-20,257.88,260.1,253.52,258.89,3582286.0
2019-12-23,259.13,259.14,255.19,255.73,919656.0
2019-12-24,255.13,256.67,253.54,256.49,140769.0
2019-12-26,256.85,258.36,256.28,258.33,265054.0
2019-12-27,259.25,259.75,257.27,258.68,258339.0
2019-12-30,258.52,259.0,255.03,256.8,300956.0
2019-12-31,256.1,258.36,255.64,257.41,442968.0
2020-01-02,257.01,259.66,256.25,259.59,636649.0
2020-01-03,254.96,258.11,253.75,256.97,468388.0
2020-01-06,255.46,255.865,252.62,254.59,612754.0
2020-01-07,255.11,258.34,253.5,256.67,357158.0
2020-01-08,256.41,258.89,255.91,257.73,445915.0
2020-01-09,259.98,261.8,258.515,261.43,513197.0
2020-01-10,262.57,263.0573,260.14,260.8,266217.0
2020-01-13,262.74,264.52,261.94,264.05,436192.0
2020-01-14,264.57,264.57,261.57,262.87,506148.0
2020-01-15,263.02,265.43,263.02,264.28,426893.0
2020-01-16,266.05,266.9064,264.69,266.81,713076.0
2020-01-17,269.2,270.6,266.45,270.28,531676.0
2020-01-21,269.9,275.88,268.68,273.82,644975.0
2020-01-22,274.97,277.2958,274.33,274.73,530282.0
2020-01-23,274.37,278.71,273.58,277.71,493859.0
2020-01-24,278.31,280.22,275.34,277.34,459990.0
2020-01-27,270.48,273.46,268.16,270.7,425063.0
2020-01-28,273.35,279.16,271.0,278.36,383823.0
2020-01-29,279.67,280.97,276.03,277.72,341186.0
2020-01-30,276.02,280.34,275.28,280.14,298337.0
2020-01-31,279.67,279.79,272.84,274.33,482447.0
2020-02-03,279.66,282.74,276.77,281.33,640345.0
2020-02-04,285.0,289.76,282.66,289.22,462353.0
2020-02-05,292.39,293.43,280.63,283.95,672253.0
2020-02-06,284.73,287.77,283.63,285.88,392400.0
2020-02-07,285.44,287.56,282.98,284.83,417036.0
2020-02-10,283.22,287.73,281.3037,286.52,471367.0
2020-02-11,287.5,289.16,284.8,288.29,435296.0
2020-02-12,289.55,292.89,288.43,292.46,449251.0
2020-02-13,291.75,293.44,291.06,291.68,600342.0
2020-02-14,292.94,292.94,290.42,291.98,911896.0
2020-02-18,292.6,292.6,287.63,290.9,700605.0
2020-02-19,292.94,299.06,290.305,296.14,524690.0
2020-02-20,295.89,296.745,288.06,294.02,525418.0
2020-02-21,293.01,293.9,284.55,287.11,584191.0
2020-02-24,279.05,280.91,274.44,276.74,953890.0
2020-02-25,278.9,281.63,265.775,266.44,681562.0
2020-02-26,268.17,274.65,266.36,270.19,659351.0
2020-02-27,241.86,261.09,234.96,244.15,1534852.0
2020-02-28,234.02,246.1737,234.02,242.19,1674522.0
2020-03-02,242.08,259.08,241.51,258.81,1386638.0
2020-03-03,256.98,261.87,246.66,249.07,811245.0
2020-03-04,254.22,259.5,249.525,259.5,733275.0
2020-03-05,251.03,254.86,246.615,248.06,821910.0
2020-03-06,239.59,241.77,230.5,237.78,1034162.0
2020-03-09,222.53,231.51,216.7,222.41,1058663.0
2020-03-10,231.16,232.705,219.6,229.12,1003289.0
2020-03-11,222.19,225.175,214.61,217.73,737049.0
2020-03-12,201.51,219.21,200.07,204.46,1312348.0
2020-03-13,215.0,235.5,214.69,235.42,1393862.0
2020-03-16,226.63,226.63,205.61,206.35,1232876.0
2020-03-17,211.89,237.4,203.705,234.29,1238015.0
2020-03-18,215.4,226.43,210.4,221.67,1103142.0
2020-03-19,220.51,229.016,211.12,221.09,910661.0
2020-03-20,229.17,229.27,209.32,213.11,1309557.0
2020-03-23,212.97,223.87,204.28,208.35,892170.0
2020-03-24,218.75,223.829,210.48,217.43,1315128.0
2020-03-25,214.81,221.8399,208.37,212.31,1030086.0
2020-03-26,214.41,232.39,212.51,230.37,728553.0
2020-03-27,226.53,233.63,221.57,223.02,752143.0
2020-03-30,226.31,237.36,222.0,235.13,645282.0
2020-03-31,234.51,237.57,229.1106,232.47,945710.0
2020-04-01,223.14,226.93,209.72,211.25,920085.0
2020-04-02,209.5,218.0,207.7945,216.2,673637.0
2020-04-03,215.34,219.65,211.9,218.3,576433.0
2020-04-06,229.21,244.2,227.76,242.46,661026.0
2020-04-07,247.25,252.0,234.49,239.65,698888.0
2020-04-08,241.43,246.74,238.05,244.37,425750.0
2020-04-09,243.17,244.23,234.59,237.92,821185.0
2020-04-13,234.88,243.59,234.21,242.93,367516.0
2020-04-14,247.38,256.7171,247.38,254.8,556258.0
2020-04-15,251.05,256.6127,249.38,253.98,498903.0
2020-04-16,255.94,259.21,253.37,257.82,556057.0
2020-04-17,261.5,264.79,256.32,263.9,846114.0
2020-04-20,262.44,268.44,258.61,266.72,429587.0
2020-04-21,263.45,263.88,252.72,253.28,567421.0
2020-04-22,260.4,264.86,256.4,263.27,508902.0
2020-04-23,261.76,264.99,257.87,258.95,317004.0
2020-04-24,264.32,264.93,256.885,259.45,472095.0
2020-04-27,264.18,265.61,260.48,262.87,395323.0
2020-04-28,266.4,266.96,254.42,257.35,485112.0
2020-04-29,260.62,266.53,258.13,265.84,648666.0
2020-04-30,263.53,268.09,261.39,261.83,842667.0
2020-05-01,257.44,260.0,252.77,255.64,580946.0
2020-05-04,254.58,260.25,254.55,258.8,447896.0
2020-05-05,258.0,267.26,258.0,262.23,763497.0
2020-05-06,263.92,269.565,260.175,268.07,595345.0
2020-05-07,260.27,266.32,255.64,260.76,874555.0
2020-05-08,262.93,264.39,259.06,263.02,568985.0
2020-05-11,259.99,267.98,259.2,265.85,500441.0
2020-05-12,268.2,268.2,259.6,259.79,538022.0
2020-05-13,259.57,263.48,249.3,252.11,397748.0
2020-05-14,249.25,252.25,244.53,252.15,541169.0
2020-05-15,249.3,254.69,247.528,253.93,451096.0
2020-05-18,258.59,264.56,256.54,263.51,399419.0
2020-05-19,264.99,268.74,262.41,262.41,406856.0
2020-05-20,267.08,274.61,265.03,272.21,442098.0
2020-05-21,271.35,272.565,266.18,266.28,476526.0
2020-05-22,265.87,271.24,264.87,269.87,276453.0
2020-05-26,274.39,275.0,268.71,268.97,526565.0
2020-05-27,267.65,269.34,259.04,269.31,468136.0
2020-05-28,268.89,281.04,268.71,275.1,615522.0
2020-05-29,274.66,283.63,273.93,283.0,776100.0
2020-06-01,281.85,289.23,280.44,286.7,536701.0
2020-06-02,286.56,288.14,281.02,288.14,454867.0
2020-06-03,289.2,290.99,282.77,286.9,408256.0
2020-06-04,284.63,286.958,279.0,282.16,348973.0
2020-06-05,282.93,289.55,280.89,289.1,450330.0
2020-06-08,286.37,292.32,283.44,290.75,411982.0
2020-06-09,290.75,293.06,284.591,285.27,499745.0
2020-06-10,288.98,291.0,285.94,286.0,670637.0
2020-06-11,282.21,286.36,271.355,271.94,495742.0
2020-06-12,277.74,280.96,266.78,270.27,594338.0
2020-06-15,265.68,278.725,265.68,274.83,448284.0
2020-06-16,281.48,286.75,278.32,282.59,540857.0
2020-06-17,284.51,289.02,283.5,285.64,435129.0
2020-06-18,286.11,291.28,284.01,289.36,421162.0
2020-06-19,292.94,295.11,281.36,281.59,1235673.0
2020-06-22,283.49,289.36,281.84,289.36,524152.0
2020-06-23,290.49,294.45,288.97,289.66,469809.0
2020-06-24,286.71,290.965,281.85,285.25,468397.0
2020-06-25,284.63,287.65,281.7113,287.19,291384.0
2020-06-26,287.52,289.14,280.26,283.08,1122903.0
2020-06-29,283.79,286.2,277.13,282.13,419600.0
2020-06-30,282.69,293.24,279.99,291.73,473900.0
2020-07-01,291.12,295.57,287.33,294.32,401200.0
2020-07-02,295.39,299.74,295.39,297.97,338500.0
2020-07-06,300.19,307.31,299.4,301.64,537100.0
2020-07-07,301.42,306.23,299.16,299.32,339000.0
2020-07-08,301.69,303.09,297.62,301.9,249500.0
2020-07-09,302.57,307.6,301.19,304.5,430300.0
2020-07-10,303.25,305.11,298.84,301.65,247900.0
2020-07-13,303.67,306.26,293.73,295.56,432100.0
2020-07-14,291.19,301.27,289.08,301.04,506900.0
2020-07-15,301.27,304.49,297.26,301.04,298200.0
2020-07-16,299.72,299.72,291.45,295.3,504000.0
2020-07-17,297.1,301.45,293.57,301.13,551200.0
2020-07-20,301.48,309.57,299.88,309.11,278127.0
2020-07-21,309.88,310.05,303.76,305.75,441436.0
2020-07-22,307.62,310.0,304.71,306.89,247223.0
2020-07-23,307.13,309.34,298.56,300.15,365105.0
2020-07-24,297.15,298.03,291.55,293.51,619984.0
2020-07-27,294.97,300.62,294.97,300.17,348953.0
2020-07-28,299.87,303.27,296.78,298.22,543611.0
2020-07-29,300.98,308.33,300.56,306.05,360007.0
2020-07-30,302.16,311.47,300.14,309.67,344353.0
2020-07-31,312.56,312.56,304.81,310.6,276023.0
2020-08-03,311.62,316.52,310.59,315.23,370851.0
2020-08-04,313.76,314.94,307.16,308.78,524194.0
2020-08-05,312.06,319.83,309.875,312.27,419538.0
2020-08-06,313.05,319.83,311.1,315.25,521661.0
2020-08-07,313.85,318.0,308.75,312.37,326063.0
2020-08-10,311.62,311.62,301.56,308.78,366467.0
2020-08-11,307.87,307.87,300.48,301.92,293599.0
2020-08-12,302.28,310.1,302.28,308.4,242665.0
2020-08-13,309.41,319.43,309.41,314.77,319382.0
2020-08-14,314.24,317.08,311.06,313.19,250929.0
2020-08-17,315.15,319.675,315.15,317.36,277152.0
2020-08-18,319.56,322.405,317.54,320.47,267318.0
2020-08-19,321.51,322.86,316.22,319.53,234969.0
2020-08-20,319.14,328.92,318.78,328.32,300788.0
