date,Open,High,Low,Close,Volume
2019-11-15,68.6,69.3,67.75,67.85,668665.0
2019-11-18,67.69,68.52,67.69,68.41,498693.0
2019-11-19,68.56,69.98,68.42,69.55,920060.0
2019-11-20,69.34,70.04,68.99,69.72,975597.0
2019-11-21,69.14,69.32,67.75,67.79,462962.0
2019-11-22,67.73,68.23,67.73,67.97,443513.0
2019-11-25,68.04,68.57,67.78,68.16,740439.0
2019-11-26,68.29,69.26,68.28,69.25,967113.0
2019-11-27,69.44,69.53,68.94,69.17,734999.0
2019-11-29,68.06,68.85,67.91,68.0,2135783.0
2019-12-02,68.25,68.6,67.62,68.36,2023806.0
2019-12-03,67.75,68.25,67.49,68.02,1682291.0
2019-12-04,67.85,69.22,67.67,68.23,35612542.0
2019-12-05,69.23,69.8,68.81,69.71,1654019.0
2019-12-06,70.13,70.37,69.67,70.09,1130758.0
2019-12-09,70.23,70.49,69.87,70.15,970307.0
2019-12-10,70.07,70.44,69.78,69.92,780903.0
2019-12-11,70.31,70.31,69.28,69.56,703076.0
2019-12-12,69.46,70.05,69.27,69.6,619514.0
2019-12-13,69.29,69.76,69.19,69.56,874820.0
2019-12-16,69.87,69.92,69.06,69.27,989563.0
2019-12-17,69.3,69.83,69.15,69.57,1370875.0
2019-12-18,69.64,69.64,68.89,69.12,1202581.0
2019-12-19,69.19,69.27,68.59,68.74,557601.0
2019-12-20,69.38,69.48,68.69,68.93,1235079.0
2019-12-23,69.15,69.29,68.13,68.4,435586.0
2019-12-24,68.48,68.74,68.14,68.42,130514.0
2019-12-26,68.55,68.87,68.17,68.47,301233.0
2019-12-27,68.55,68.63,68.27,68.57,419452.0
2019-12-30,68.72,68.79,68.37,68.63,522499.0
2019-12-31,68.66,69.11,68.61,69.1,851800.0
2020-01-02,69.49,69.49,68.41,68.96,873543.0
2020-01-03,68.35,69.18,68.16,69.05,438388.0
2020-01-06,68.64,69.0,68.42,68.95,650486.0
2020-01-07,68.82,68.9,67.65,67.69,686237.0
2020-01-08,67.8,68.59,67.74,68.17,574465.0
2020-01-09,68.37,68.62,67.96,68.57,905515.0
2020-01-10,68.54,68.55,67.74,67.86,620521.0
2020-01-13,67.71,68.38,67.7,68.11,903143.0
2020-01-14,67.97,68.66,67.72,68.29,1042132.0
2020-01-15,68.23,69.18,68.21,68.95,452966.0
2020-01-16,69.08,69.75,68.92,69.73,515204.0
2020-01-17,69.9,70.36,69.7,70.36,775348.0
2020-01-21,70.09,70.37,69.63,69.85,688507.0
2020-01-22,71.1,71.38,70.66,71.24,957056.0
2020-01-23,70.9,71.43,70.19,71.38,667338.0
2020-01-24,71.36,72.12,71.31,72.07,671184.0
2020-01-27,71.54,72.05,71.38,71.59,736557.0
2020-01-28,71.75,72.75,71.75,72.37,958549.0
2020-01-29,72.84,73.45,71.19,72.75,1009050.0
2020-01-30,72.4,74.66,72.12,74.58,747181.0
2020-01-31,74.32,74.8,73.24,73.53,939757.0
2020-02-03,73.95,74.89,73.86,74.39,994776.0
2020-02-04,74.79,75.83,74.53,74.84,750983.0
2020-02-05,75.31,76.26,75.11,76.19,643672.0
2020-02-06,76.32,77.39,76.32,77.18,637934.0
2020-02-07,77.04,77.94,76.94,77.81,813575.0
2020-02-10,77.86,78.79,77.84,78.76,801688.0
2020-02-11,78.85,79.41,78.83,79.28,773338.0
2020-02-12,79.18,79.18,78.47,78.64,521968.0
2020-02-13,78.53,79.33,78.31,79.32,726773.0
2020-02-14,79.32,79.44,78.83,79.4,802105.0
2020-02-18,79.4,79.82,79.11,79.36,740094.0
2020-02-19,79.52,79.92,79.28,79.48,478606.0
2020-02-20,79.19,79.41,77.52,78.07,1004594.0
2020-02-21,77.99,78.88,77.87,78.65,3374009.0
2020-02-24,77.83,78.44,76.95,77.04,1003183.0
2020-02-25,77.05,77.37,75.07,75.17,949088.0
2020-02-26,75.47,76.16,74.01,74.04,962319.0
2020-02-27,73.18,73.72,69.89,69.99,1024682.0
2020-02-28,68.49,69.04,66.12,67.14,2198311.0
2020-03-02,67.28,70.21,66.56,70.2,1162957.0
2020-03-03,70.1,71.23,67.65,67.96,1168663.0
2020-03-04,69.11,70.03,67.63,70.02,1313981.0
2020-03-05,68.37,68.47,66.24,66.79,1305314.0
2020-03-06,64.66,66.64,64.1,66.24,1255503.0
2020-03-09,62.71,62.71,59.29,60.3,1535632.0
2020-03-10,61.79,63.16,60.14,63.11,1269145.0
2020-03-11,61.21,61.39,57.87,58.15,1665110.0
2020-03-12,54.18,55.13,51.1,51.45,2032138.0
2020-03-13,53.98,56.4,50.54,56.18,1574051.0
2020-03-16,49.59,52.99,47.02,47.51,2110955.0
2020-03-17,48.81,53.26,47.02,53.19,1994370.0
2020-03-18,49.89,52.67,47.5,50.74,1963894.0
2020-03-19,50.06,50.88,48.01,48.45,1305941.0
2020-03-20,48.63,50.03,47.24,47.58,1822788.0
2020-03-23,46.77,47.34,43.05,43.36,1606527.0
2020-03-24,45.52,48.31,44.85,48.1,1182254.0
2020-03-25,47.87,49.66,45.68,47.52,1099311.0
2020-03-26,47.89,51.17,46.85,50.81,927399.0
2020-03-27,49.77,53.55,48.92,51.87,978385.0
2020-03-30,51.87,54.7,50.4,54.51,1247783.0
2020-03-31,53.6,54.16,51.05,52.17,3010500.0
2020-04-01,49.66,50.89,49.22,50.24,1335428.0
2020-04-02,49.62,52.09,49.52,50.68,1432140.0
2020-04-03,49.98,50.94,49.24,49.48,1241765.0
2020-04-06,51.82,54.12,51.3,53.73,1190834.0
2020-04-07,55.78,57.39,53.76,53.82,1171001.0
2020-04-08,54.37,55.46,53.13,55.22,775098.0
2020-04-09,56.07,58.95,56.07,58.32,687111.0
2020-04-13,58.35,58.35,56.34,56.7,876187.0
2020-04-14,58.25,59.35,57.94,58.7,763100.0
2020-04-15,57.0,57.3,55.27,55.72,1120088.0
2020-04-16,55.49,56.18,53.74,54.65,906082.0
2020-04-17,56.44,57.34,55.7,56.99,1135584.0
2020-04-20,55.96,56.08,54.5,55.25,766988.0
2020-04-21,53.82,54.62,53.17,53.35,826339.0
2020-04-22,52.72,54.34,50.78,51.28,2103206.0
2020-04-23,51.49,51.91,50.15,50.15,988430.0
2020-04-24,50.47,50.74,49.21,50.24,1095662.0
2020-04-27,50.34,53.1,50.33,52.9,844722.0
2020-04-28,54.26,54.72,53.37,54.05,1038165.0
2020-04-29,55.19,56.93,54.55,56.19,857116.0
2020-04-30,55.04,55.3,53.92,54.0,841597.0
2020-05-01,52.93,53.05,51.15,51.45,667961.0
2020-05-04,50.86,51.48,50.33,51.38,762628.0
2020-05-05,51.87,53.21,51.73,51.75,766827.0
2020-05-06,51.99,52.22,49.96,49.98,1070285.0
2020-05-07,50.49,52.22,50.48,51.13,948142.0
2020-05-08,52.11,52.33,50.7,51.73,732114.0
2020-05-11,51.01,51.72,50.12,50.98,700926.0
2020-05-12,51.14,51.4,49.31,49.39,827566.0
2020-05-13,48.8,48.94,46.64,46.94,1184930.0
2020-05-14,46.32,47.74,45.25,47.4,1320226.0
2020-05-15,46.87,48.09,46.22,47.73,3558645.0
2020-05-18,49.84,52.34,49.51,51.92,1454698.0
2020-05-19,51.69,52.12,51.07,51.32,826047.0
2020-05-20,51.81,53.69,51.65,53.41,810764.0
2020-05-21,53.21,55.92,53.21,55.72,1076548.0
2020-05-22,55.87,56.55,55.1,56.45,966281.0
2020-05-26,58.56,59.0,57.38,57.53,898972.0
2020-05-27,59.54,59.96,57.9,58.54,923949.0
2020-05-28,59.57,59.57,57.78,58.13,761145.0
2020-05-29,57.67,58.51,57.24,57.95,1285214.0
2020-06-01,57.79,58.07,56.8,57.96,549555.0
2020-06-02,57.89,59.82,57.67,59.63,790843.0
2020-06-03,60.16,61.39,59.75,60.21,1099662.0
2020-06-04,59.91,61.5,59.43,61.42,842223.0
2020-06-05,64.12,64.82,62.87,63.86,934789.0
2020-06-08,64.0,65.4,64.0,65.39,817167.0
2020-06-09,63.97,64.64,62.88,62.99,552837.0
2020-06-10,62.43,62.98,59.98,60.11,1092095.0
2020-06-11,58.3,58.99,55.88,56.05,1036026.0
2020-06-12,58.29,58.47,55.7,57.02,829846.0
2020-06-15,55.0,58.51,54.45,58.27,882144.0
2020-06-16,60.54,60.54,57.95,58.56,681216.0
2020-06-17,58.59,58.94,57.72,58.32,1001228.0
2020-06-18,57.56,59.08,57.42,58.38,797884.0
2020-06-19,59.55,59.55,57.7,58.66,1877309.0
2020-06-22,57.9,58.16,57.12,57.71,530849.0
2020-06-23,58.69,59.01,57.57,57.64,671012.0
2020-06-24,56.68,56.77,54.99,55.74,651983.0
2020-06-25,55.8,57.13,54.98,56.98,619126.0
2020-06-26,56.33,56.91,55.01,55.41,1191364.0
2020-06-29,56.31,56.7,55.47,56.48,656371.0
2020-06-30,56.18,57.64,56.18,57.29,1072820.0
2020-07-01,57.22,57.99,56.8,57.03,752000.0
2020-07-02,58.27,58.53,56.36,56.47,550573.0
2020-07-06,57.8,58.12,57.0,57.24,481447.0
2020-07-07,56.67,57.68,56.53,56.74,701649.0
2020-07-08,56.58,57.41,56.11,56.78,618314.0
2020-07-09,56.52,56.66,55.14,55.8,731176.0
2020-07-10,55.54,58.07,55.54,57.81,684323.0
2020-07-13,58.22,59.49,57.92,58.54,897313.0
2020-07-14,58.57,60.06,58.33,59.91,697694.0
2020-07-15,61.13,62.03,60.55,61.64,989203.0
2020-07-16,61.62,63.95,61.49,63.35,1004110.0
2020-07-17,63.47,63.81,62.72,63.54,861669.0
2020-07-20,63.32,63.74,62.77,63.4,889264.0
2020-07-21,63.6,64.76,63.6,64.02,849377.0
2020-07-22,64.43,65.535,63.61,63.93,1679821.0
2020-07-23,63.84,64.87,63.36,64.5,732347.0
2020-07-24,64.75,64.815,63.74,63.96,690856.0
2020-07-27,63.68,63.995,62.5,62.87,716379.0
2020-07-28,62.62,63.01,62.03,62.2,591017.0
2020-07-29,62.1,63.41,61.99,63.4,557420.0
2020-07-30,62.12,62.8,61.51,62.3,483892.0
2020-07-31,61.98,62.18,60.76,61.75,661131.0
2020-08-03,61.89,62.53,61.42,62.14,503722.0
2020-08-04,61.99,62.06,61.01,61.2,504660.0
2020-08-05,61.79,62.48,61.66,61.94,573419.0
2020-08-06,61.73,62.34,61.61,62.19,638478.0
2020-08-07,61.82,63.95,61.76,63.89,531385.0
2020-08-10,64.09,64.905,63.43,64.38,583780.0
2020-08-11,65.33,65.96,63.39,63.57,913745.0
2020-08-12,64.5,64.5,63.08,63.08,510714.0
2020-08-13,62.44,63.13,61.88,62.85,450070.0
2020-08-14,62.45,63.09,62.07,62.28,524324.0
2020-08-17,61.96,62.04,60.49,60.91,651307.0
2020-08-18,61.16,61.805,61.12,61.26,548434.0
2020-08-19,61.43,61.665,60.43,60.63,567964.0
2020-08-20,59.95,60.77,59.79,60.16,514703.0
