date,Open,High,Low,Close,Volume
2019-11-22,150.07,150.3,148.82,149.59,15841680.0
2019-11-25,150.0,151.35,149.92,151.23,22428585.0
2019-11-26,151.36,152.42,151.32,152.03,24635100.0
2019-11-27,152.33,152.5,151.52,152.32,15201293.0
2019-11-29,152.1,152.3,151.28,151.38,11977300.0
2019-12-02,151.81,151.83,148.32,149.55,27473616.0
2019-12-03,147.49,149.43,146.65,149.31,25192145.0
2019-12-04,150.14,150.18,149.2,149.85,17580617.0
2019-12-05,150.05,150.32,149.48,149.93,17880601.0
2019-12-06,150.99,151.87,150.27,151.75,16410400.0
2019-12-09,151.07,152.21,150.91,151.36,16741350.0
2019-12-10,151.29,151.89,150.76,151.13,16481060.0
2019-12-11,151.54,151.87,150.33,151.7,18860001.0
2019-12-12,151.65,153.44,151.02,153.24,24645366.0
2019-12-13,153.0,154.89,152.83,154.53,23850062.0
2019-12-16,155.11,155.9,154.82,155.53,24152770.0
2019-12-17,155.45,155.71,154.45,154.69,25443527.0
2019-12-18,154.3,155.48,154.18,154.37,24132379.0
2019-12-19,154.0,155.77,153.75,155.71,25813825.0
2019-12-20,157.35,158.49,156.29,157.41,53599613.0
2019-12-23,158.12,158.12,157.27,157.41,17726283.0
2019-12-24,157.48,157.71,157.12,157.38,8989150.0
2019-12-26,157.56,158.73,157.4,158.67,14526927.0
2019-12-27,159.45,159.55,158.22,158.96,18414352.0
2019-12-30,158.99,159.02,156.73,157.59,16356720.0
2019-12-31,156.77,157.77,156.45,157.7,18393383.0
2020-01-02,158.78,160.73,158.33,160.62,22634546.0
2020-01-03,158.32,159.95,158.06,158.62,21121681.0
2020-01-06,157.08,159.1,156.51,159.03,20826702.0
2020-01-07,159.32,159.67,157.32,157.58,21881740.0
2020-01-08,158.93,160.8,157.95,160.09,27762026.0
2020-01-09,161.84,162.22,161.03,162.09,21399951.0
2020-01-10,162.82,163.22,161.18,161.34,20733946.0
2020-01-13,161.76,163.31,161.26,163.28,18666414.0
2020-01-14,163.39,163.6,161.72,162.13,23500783.0
2020-01-15,162.62,163.94,162.57,163.18,21417871.0
2020-01-16,164.35,166.24,164.03,166.17,23865360.0
2020-01-17,167.42,167.47,165.43,167.1,34371659.0
2020-01-21,166.68,168.19,166.43,166.5,29223486.0
2020-01-22,167.4,167.49,165.68,165.7,24138777.0
2020-01-23,166.19,166.8,165.27,166.72,19680766.0
2020-01-24,167.51,167.53,164.45,165.04,24918117.0
2020-01-27,161.15,163.38,160.2,162.28,32078067.0
2020-01-28,163.78,165.76,163.07,165.46,24899940.0
2020-01-29,167.84,168.75,165.69,168.04,35127771.0
2020-01-30,174.05,174.05,170.79,172.78,51597470.0
2020-01-31,172.21,172.4,169.58,170.23,36142690.0
2020-02-03,170.43,174.5,170.4,174.38,30149052.0
2020-02-04,177.14,180.64,176.31,180.12,36433339.0
2020-02-05,184.03,184.2,178.41,179.9,39186324.0
2020-02-06,180.97,183.82,180.06,183.63,27751381.0
2020-02-07,182.85,185.63,182.48,183.89,33529074.0
2020-02-10,183.58,188.84,183.25,188.7,35844267.0
2020-02-11,190.65,190.7,183.5,184.44,53159906.0
2020-02-12,185.58,185.85,181.85,184.71,47062921.0
2020-02-13,183.08,186.23,182.87,183.71,35295834.0
2020-02-14,183.25,185.41,182.65,185.35,23149516.0
2020-02-18,185.61,187.7,185.5,187.23,27853113.0
2020-02-19,188.06,188.18,186.47,187.28,29997471.0
2020-02-20,186.95,187.25,181.1,184.42,36862376.0
2020-02-21,183.17,183.5,177.25,178.59,48600385.0
2020-02-24,167.77,174.55,163.23,170.89,68311066.0
2020-02-25,174.2,174.84,167.65,168.07,68073295.0
2020-02-26,169.71,173.26,168.21,170.17,56387148.0
2020-02-27,163.32,167.03,157.98,158.18,93174906.0
2020-02-28,152.41,163.71,152.0,162.01,97073557.0
2020-03-02,165.31,172.92,162.31,172.79,71030810.0
2020-03-03,173.8,175.0,162.26,164.51,71677019.0
2020-03-04,168.49,170.7,165.62,170.55,49814383.0
2020-03-05,166.05,170.87,165.69,166.27,47817251.0
2020-03-06,162.61,163.11,156.0,161.57,72821057.0
2020-03-09,151.0,157.75,150.0,150.62,70419274.0
2020-03-10,158.16,161.03,152.58,160.92,65354385.0
2020-03-11,157.13,157.7,151.15,153.63,56504304.0
2020-03-12,145.3,153.47,138.58,139.06,93226366.0
2020-03-13,147.5,161.91,140.73,158.83,92727446.0
2020-03-16,140.0,149.35,135.0,135.42,87905868.0
2020-03-17,140.0,147.5,135.0,146.57,81059817.0
2020-03-18,138.0,146.0,135.02,140.4,81593173.0
2020-03-19,142.77,150.15,139.0,142.71,85922661.0
2020-03-20,146.0,147.1,135.86,137.35,84866215.0
2020-03-23,137.01,140.57,132.52,135.98,78975176.0
2020-03-24,143.75,149.6,141.27,148.34,82516727.0
2020-03-25,148.91,154.33,144.44,146.92,75638224.0
2020-03-26,148.4,156.66,148.37,156.11,64694427.0
2020-03-27,151.75,154.89,149.2,149.7,57042291.0
2020-03-30,152.44,160.6,150.01,160.23,63420326.0
2020-03-31,159.4,164.78,156.56,157.71,77927186.0
2020-04-01,153.0,157.75,150.82,152.11,57969926.0
2020-04-02,151.86,155.48,150.36,155.26,49630735.0
2020-04-03,155.1,157.38,152.19,153.83,41243284.0
2020-04-06,160.32,166.5,157.58,165.27,67111697.0
2020-04-07,169.59,170.0,163.26,163.49,62769038.0
2020-04-08,165.67,166.67,163.5,165.13,48318234.0
2020-04-09,166.36,167.37,163.33,165.14,51431775.0
2020-04-13,164.35,165.57,162.3,165.51,41905264.0
2020-04-14,169.0,173.75,168.0,173.7,52874338.0
2020-04-15,171.2,173.57,169.24,171.88,40940833.0
2020-04-16,174.3,177.28,172.9,177.04,50479610.0
2020-04-17,179.5,180.0,175.87,178.6,52765625.0
2020-04-20,176.63,178.75,174.99,175.06,36669595.0
2020-04-21,173.5,173.67,166.11,167.82,56203749.0
2020-04-22,171.39,174.0,170.82,173.52,34651604.0
2020-04-23,174.11,175.06,170.91,171.42,32790804.0
2020-04-24,172.06,174.56,170.71,174.55,34305320.0
2020-04-27,176.59,176.9,173.3,174.05,33194384.0
2020-04-28,175.59,175.67,169.39,169.81,34392694.0
2020-04-29,173.22,177.68,171.88,177.43,51286559.0
2020-04-30,180.0,180.4,176.23,179.21,53875857.0
2020-05-01,175.8,178.64,174.01,174.57,39370474.0
2020-05-04,174.49,179.0,173.8,178.84,30372862.0
2020-05-05,180.62,183.65,179.9,180.76,36839168.0
2020-05-06,182.08,184.2,181.63,182.54,32139299.0
2020-05-07,184.17,184.55,182.58,183.6,28315992.0
2020-05-08,184.98,185.0,183.36,184.68,30912638.0
2020-05-11,183.15,187.51,182.85,186.74,30892660.0
2020-05-12,186.8,187.04,182.3,182.51,32038199.0
2020-05-13,182.55,184.05,176.54,179.75,44711488.0
2020-05-14,177.54,180.69,175.68,180.53,41873911.0
2020-05-15,179.06,187.06,177.0,183.16,46610382.0
2020-05-18,185.75,186.2,183.96,184.91,35306620.0
2020-05-19,185.03,186.6,183.49,183.63,26799116.0
2020-05-20,184.81,185.85,183.94,185.66,31261334.0
2020-05-21,185.4,186.67,183.29,183.43,29032741.0
2020-05-22,183.19,184.46,182.54,183.51,20826898.0
2020-05-26,186.34,186.5,181.1,181.57,36073609.0
2020-05-27,180.2,181.99,176.6,181.81,39517146.0
2020-05-28,180.74,184.15,180.38,181.4,33831824.0
2020-05-29,182.73,184.27,180.41,183.25,42146720.0
2020-06-01,182.54,183.0,181.46,182.83,22668821.0
2020-06-02,184.25,185.0,181.35,184.91,30794585.0
2020-06-03,184.82,185.94,183.58,185.36,27311016.0
2020-06-04,184.3,185.84,182.3,182.92,28761809.0
2020-06-05,182.62,187.73,182.01,187.2,39893643.0
2020-06-08,185.94,188.55,184.44,188.36,33211590.0
2020-06-09,188.0,190.7,187.26,189.8,29783916.0
2020-06-10,191.13,198.52,191.01,196.84,43872329.0
2020-06-11,193.13,195.76,186.07,186.27,52854672.0
2020-06-12,190.54,191.72,185.18,187.74,43373587.0
2020-06-15,184.58,190.82,184.01,188.94,32770189.0
2020-06-16,192.89,195.58,191.46,193.57,42556656.0
2020-06-17,195.03,196.32,193.69,194.24,25687822.0
2020-06-18,194.0,196.49,194.0,196.32,23061648.0
2020-06-19,198.59,199.29,194.37,195.15,44441141.0
2020-06-22,195.79,200.76,195.23,200.57,32818929.0
2020-06-23,202.09,203.95,201.43,201.91,30917447.0
2020-06-24,201.6,203.25,196.56,197.84,36740647.0
2020-06-25,197.8,200.61,195.47,200.34,27803933.0
2020-06-26,199.73,199.89,194.88,196.33,54675780.0
2020-06-29,195.78,198.53,193.55,198.44,26701586.0
2020-06-30,197.88,204.4,197.74,203.51,34310283.0
2020-07-01,203.14,206.35,201.77,204.7,32071431.0
2020-07-02,205.68,208.02,205.0,206.26,29322547.0
2020-07-06,208.83,211.13,208.09,210.7,32033747.0
2020-07-07,210.45,214.67,207.99,208.25,33600749.0
2020-07-08,210.07,213.26,208.69,212.83,33602226.0
2020-07-09,216.33,216.38,211.47,214.32,33122280.0
2020-07-10,213.62,214.08,211.08,213.67,26178663.0
2020-07-13,214.48,215.8,206.5,207.07,38135816.0
2020-07-14,206.13,208.85,202.03,208.35,37598121.0
2020-07-15,209.56,211.33,205.03,208.04,32248893.0
2020-07-16,205.4,205.7,202.31,203.92,29940718.0
2020-07-17,204.47,205.04,201.39,202.88,31636070.0
2020-07-20,205.0,212.3,203.01,211.6,36386080.0
2020-07-21,213.66,213.94,208.03,208.75,37702523.0
2020-07-22,209.2,212.3,208.39,211.75,49605692.0
2020-07-23,207.19,210.92,202.15,202.54,67457035.0
2020-07-24,200.42,202.86,197.51,201.3,39826989.0
2020-07-27,201.47,203.97,200.86,203.85,30160867.0
2020-07-28,203.61,204.7,201.74,202.02,23251388.0
2020-07-29,202.5,204.65,202.01,204.06,19632602.0
2020-07-30,201.0,204.46,199.57,203.9,25079596.0
2020-07-31,204.4,205.1,199.01,205.01,51247969.0
2020-08-03,211.52,217.64,210.44,216.54,78983009.0
2020-08-04,214.17,214.77,210.31,213.29,49280056.0
2020-08-05,214.9,215.0,211.57,212.94,28858621.0
2020-08-06,212.34,216.3705,211.55,216.35,32656843.0
2020-08-07,214.85,215.7,210.93,212.48,27820421.0
2020-08-10,211.67,211.88,206.35,208.25,36716462.0
2020-08-11,207.155,207.65,203.14,203.38,36446459.0
2020-08-12,205.29,210.28,204.75,209.19,28041364.0
2020-08-13,209.44,211.35,208.15,208.7,22588870.0
2020-08-14,208.76,209.59,207.51,208.9,17958936.0
2020-08-17,209.6,211.1874,208.915,210.28,20063496.0
2020-08-18,210.53,212.36,209.21,211.49,21336167.0
2020-08-19,211.49,212.1,209.25,209.7,27627561.0
2020-08-20,209.54,215.0,208.91,214.58,26981478.0
