date,Open,High,Low,Close,Volume
2020-01-13,146.53,146.83,145.55,146.82,3355028.0
2020-01-14,147.45,147.98,146.31,146.68,2742237.0
2020-01-15,146.22,146.74,145.2,145.57,2640544.0
2020-01-16,146.43,147.93,146.24,147.87,3070430.0
2020-01-17,147.21,148.27,146.6,147.78,3331430.0
2020-01-21,147.2,147.87,145.69,145.85,2476673.0
2020-01-22,146.25,146.56,142.52,142.63,3601974.0
2020-01-23,141.81,143.21,139.8,142.75,3182694.0
2020-01-24,142.55,142.7,139.26,140.38,2521841.0
2020-01-27,136.9,137.81,135.57,135.73,2919142.0
2020-01-28,137.02,137.6,135.62,136.74,2762057.0
2020-01-29,137.59,137.76,135.67,135.78,2619883.0
2020-01-30,134.76,135.97,132.91,135.37,3858758.0
2020-01-31,133.82,134.99,130.54,131.35,6784546.0
2020-02-03,131.44,133.16,129.3,129.77,4385263.0
2020-02-04,133.0,134.78,132.68,133.51,3501038.0
2020-02-05,135.55,137.47,135.44,137.44,4444646.0
2020-02-06,138.2,138.33,136.13,137.25,2282055.0
2020-02-07,136.04,136.49,133.0,133.37,3810972.0
2020-02-10,133.04,134.33,132.78,134.32,2329180.0
2020-02-11,135.49,137.23,135.06,136.19,2381879.0
2020-02-12,138.4,139.94,138.09,139.59,3219315.0
2020-02-13,140.0,140.5,138.43,139.72,3316282.0
2020-02-14,139.49,139.62,136.89,137.99,2813356.0
2020-02-18,137.46,138.57,135.08,136.58,3869717.0
2020-02-19,136.79,137.21,136.06,136.86,2134861.0
2020-02-20,136.26,138.89,136.2,136.93,2678162.0
2020-02-21,136.5,137.44,135.11,137.21,2855577.0
2020-02-24,132.53,133.86,132.05,132.17,4963561.0
2020-02-25,132.97,133.14,128.25,129.0,4835407.0
2020-02-26,129.65,130.99,127.55,128.25,3902541.0
2020-02-27,125.6,128.53,123.22,123.27,7366371.0
2020-02-28,119.57,124.24,119.03,124.24,8300662.0
2020-03-02,125.05,127.88,123.01,127.6,6099185.0
2020-03-03,127.0,129.56,123.78,124.38,6356952.0
2020-03-04,126.07,127.44,124.31,127.4,5074628.0
2020-03-05,123.15,124.85,121.24,121.97,6013961.0
2020-03-06,119.0,121.85,118.83,121.41,5767779.0
2020-03-09,112.99,112.99,104.03,104.07,8621129.0
2020-03-10,108.64,109.06,99.11,106.49,8289390.0
2020-03-11,103.8,104.75,100.07,100.69,6529521.0
2020-03-12,93.5,94.28,87.5,92.26,10280615.0
2020-03-13,98.39,99.91,90.14,99.64,8713899.0
2020-03-16,89.0,105.85,88.5,93.41,9894512.0
2020-03-17,96.01,100.44,92.97,100.2,7201136.0
2020-03-18,93.99,102.95,93.11,100.12,6990147.0
2020-03-19,99.23,104.4,97.25,103.01,6869724.0
2020-03-20,103.12,103.99,94.16,95.5,7649117.0
2020-03-23,93.9,96.24,90.64,91.85,6734663.0
2020-03-24,96.06,102.03,95.17,101.34,7409740.0
2020-03-25,101.17,108.5,98.5,104.67,6577059.0
2020-03-26,104.85,110.97,102.89,110.5,6059607.0
2020-03-27,104.43,109.64,103.4,105.44,5745007.0
2020-03-30,106.33,112.84,104.93,111.71,5724354.0
2020-03-31,110.73,116.91,110.26,116.04,8963312.0
2020-04-01,112.09,116.75,109.5,111.35,6845409.0
2020-04-02,111.23,118.52,111.13,116.74,7951000.0
2020-04-03,115.5,116.84,112.12,114.67,5036410.0
2020-04-06,120.04,121.73,118.13,120.43,5783956.0
2020-04-07,122.89,128.8,120.51,121.92,8488834.0
2020-04-08,122.99,128.18,121.04,127.4,4685164.0
2020-04-09,128.65,129.6,123.15,125.03,4752147.0
2020-04-13,119.95,120.05,113.58,114.14,10510064.0
2020-04-14,116.5,117.84,114.51,116.48,7163338.0
2020-04-15,112.96,113.1,109.8,111.53,5650188.0
2020-04-16,111.85,113.47,108.86,113.22,5910096.0
2020-04-17,114.45,116.54,113.85,116.3,4128511.0
2020-04-20,114.44,117.07,112.12,114.6,4083029.0
2020-04-21,111.04,111.04,108.6,109.85,5742400.0
2020-04-22,112.03,112.1,109.21,110.64,3794019.0
2020-04-23,111.33,115.23,110.95,112.91,3544355.0
2020-04-24,113.99,114.38,111.21,114.04,3045275.0
2020-04-27,110.85,116.13,109.73,115.2,5333600.0
2020-04-28,117.86,118.0,113.37,115.46,5602285.0
2020-04-29,116.96,120.82,116.53,120.06,4255891.0
2020-04-30,118.0,118.25,115.33,116.38,4037908.0
2020-05-01,114.0,114.59,110.57,110.88,3958754.0
2020-05-04,110.02,110.28,106.58,107.72,4498944.0
2020-05-05,109.24,111.09,108.74,108.91,3477369.0
2020-05-06,110.03,110.24,106.7,107.67,4458855.0
2020-05-07,109.02,110.05,106.78,107.29,4377261.0
2020-05-08,108.97,112.2,108.3,112.11,3910469.0
2020-05-11,110.16,110.77,108.18,108.61,4205632.0
2020-05-12,109.11,109.33,105.0,105.0,3863737.0
2020-05-13,105.14,105.29,102.55,104.48,5374291.0
2020-05-14,102.5,106.28,100.22,106.19,5539673.0
2020-05-15,105.18,107.99,104.28,107.92,6581633.0
2020-05-18,112.22,115.66,112.01,115.02,5603218.0
2020-05-19,114.95,115.44,112.01,112.08,3404396.0
2020-05-20,113.31,117.48,113.05,115.69,3733862.0
2020-05-21,114.95,115.68,113.82,114.06,2342152.0
2020-05-22,114.13,114.16,111.47,112.47,2734609.0
2020-05-26,115.98,118.56,115.98,117.41,4184569.0
2020-05-27,119.72,122.49,119.53,122.42,4461668.0
2020-05-28,124.75,124.83,120.28,120.74,3743661.0
2020-05-29,119.63,120.71,117.57,120.13,4218677.0
2020-06-01,119.86,121.2,117.61,120.5,2131296.0
2020-06-02,121.84,123.82,121.28,123.32,2975935.0
2020-06-03,125.45,127.35,125.01,127.09,3709615.0
2020-06-04,125.41,129.03,124.74,128.96,3075727.0
2020-06-05,137.85,139.37,133.39,135.12,5590543.0
2020-06-08,135.32,139.94,135.32,137.72,4137866.0
2020-06-09,135.02,135.41,133.21,134.19,3817704.0
2020-06-10,133.72,135.38,130.56,132.44,4005653.0
2020-06-11,126.41,126.84,121.52,121.55,5965427.0
2020-06-12,124.4,125.17,119.35,123.15,4488982.0
2020-06-15,118.51,124.38,118.01,123.61,4092007.0
2020-06-16,131.37,132.44,126.39,130.11,6877878.0
2020-06-17,130.16,130.47,127.76,128.23,3226130.0
2020-06-18,127.14,128.98,126.7,127.59,2463661.0
2020-06-19,130.0,130.0,125.73,127.46,6487980.0
2020-06-22,126.36,126.48,124.6,125.79,2801506.0
2020-06-23,127.39,127.57,125.83,126.25,2356187.0
2020-06-24,124.79,124.84,121.83,122.06,3764953.0
2020-06-25,121.61,124.83,120.8,124.71,2901848.0
2020-06-26,124.33,124.44,121.45,122.39,3645141.0
2020-06-29,123.72,126.04,123.28,125.25,2798657.0
2020-06-30,124.01,127.06,124.01,126.5,2776995.0
2020-07-01,129.38,129.4,125.88,126.06,2807813.0
2020-07-02,128.25,130.34,127.19,127.72,2526289.0
2020-07-06,130.13,130.5,128.17,129.43,2489602.0
2020-07-07,127.74,128.75,126.8,127.2,2018103.0
2020-07-08,129.33,129.33,126.47,128.13,2279471.0
2020-07-09,127.54,128.35,125.12,125.73,2662853.0
2020-07-10,125.97,128.23,125.82,128.01,2691384.0
2020-07-13,129.42,132.09,128.85,130.57,3706145.0
2020-07-14,130.32,137.31,129.23,136.88,6531639.0
2020-07-15,140.17,140.17,137.11,138.36,4909895.0
2020-07-16,138.3,140.99,137.6,138.56,3619515.0
2020-07-17,137.87,138.43,136.53,136.9,2458253.0
2020-07-20,135.76,136.95,134.26,134.63,2476128.0
2020-07-21,134.77,137.18,134.43,135.87,3217953.0
2020-07-22,135.25,137.87,135.19,136.98,2157207.0
2020-07-23,136.9,137.5238,135.71,136.6,1613733.0
2020-07-24,137.2,138.69,136.85,137.58,2036293.0
2020-07-27,137.15,140.34,137.06,139.89,2507222.0
2020-07-28,138.94,139.99,137.92,138.03,2029926.0
2020-07-29,138.58,141.0835,137.8,140.53,2338324.0
2020-07-30,139.08,139.1,135.97,136.73,3063503.0
2020-07-31,132.43,135.15,130.21,132.88,6782180.0
2020-08-03,132.3,133.0,131.1,131.78,2852684.0
2020-08-04,131.37,132.44,130.67,131.52,2301841.0
2020-08-05,132.78,135.94,132.61,134.97,2810166.0
2020-08-06,134.52,135.205,133.695,134.39,2446351.0
2020-08-07,134.0,135.11,132.5162,134.92,2223882.0
2020-08-10,135.73,142.16,135.675,142.02,5181635.0
2020-08-11,144.02,146.2,142.29,142.53,4206018.0
2020-08-12,143.95,144.165,141.33,142.57,2541382.0
2020-08-13,141.6,142.7376,139.77,140.67,2939915.0
2020-08-14,139.45,140.89,138.77,139.96,2038515.0
2020-08-17,140.15,140.6007,138.3,138.72,1855750.0
2020-08-18,138.95,140.11,138.08,138.37,1563172.0
2020-08-19,138.5,139.92,137.46,138.02,1849463.0
2020-08-20,136.02,137.98,135.65,137.48,2279982.0
