date,Open,High,Low,Close,Volume
2020-02-12,139.41,141.04,137.96,139.39,1247915.0
2020-02-13,130.96,136.98,128.53,136.74,3177614.0
2020-02-14,136.71,137.54,135.7,135.87,1028381.0
2020-02-18,135.5,135.75,132.78,134.84,1072653.0
2020-02-19,134.98,136.74,134.03,134.26,887342.0
2020-02-20,133.57,135.69,131.91,132.69,1478708.0
2020-02-21,132.15,133.83,131.28,132.18,1632294.0
2020-02-24,129.33,129.51,125.29,127.91,1994880.0
2020-02-25,128.43,128.67,121.98,123.94,1963535.0
2020-02-26,125.84,127.3,122.83,123.44,1599044.0
2020-02-27,121.59,126.82,121.04,122.23,1531534.0
2020-02-28,119.08,121.12,115.34,119.78,2332472.0
2020-03-02,120.37,122.7,118.96,122.56,1295454.0
2020-03-03,122.11,124.85,119.07,122.31,1427045.0
2020-03-04,124.21,127.81,123.92,127.75,1422862.0
2020-03-05,125.03,127.85,123.72,124.83,1492512.0
2020-03-06,121.09,124.31,120.38,122.73,1635383.0
2020-03-09,116.76,118.56,109.86,112.72,2968142.0
2020-03-10,116.49,118.76,114.96,118.57,2707674.0
2020-03-11,115.75,116.04,109.86,111.28,2622156.0
2020-03-12,104.1,106.52,94.98,99.94,2698712.0
2020-03-13,104.92,109.02,100.27,109.02,1621114.0
2020-03-16,100.33,106.95,98.0,101.49,1836480.0
2020-03-17,104.0,111.61,100.29,109.48,2271512.0
2020-03-18,103.53,109.48,98.36,108.41,2104983.0
2020-03-19,107.4,111.94,103.58,107.42,1796489.0
2020-03-20,108.17,108.37,100.89,102.41,1538202.0
2020-03-23,102.05,102.82,92.14,94.28,2184718.0
2020-03-24,98.5,106.15,98.11,100.95,1647507.0
2020-03-25,98.82,108.6,95.82,104.57,2288415.0
2020-03-26,105.8,114.55,104.38,114.55,1104189.0
2020-03-27,109.76,113.4,109.04,110.22,1006810.0
2020-03-30,110.95,112.45,106.3,108.01,1099717.0
2020-03-31,106.07,108.73,101.69,102.08,1519219.0
2020-04-01,98.18,102.1,96.8,100.73,1363608.0
2020-04-02,99.09,102.58,98.32,99.18,1093972.0
2020-04-03,99.55,102.08,98.72,98.9,1234028.0
2020-04-06,104.35,109.89,102.72,109.0,1199204.0
2020-04-07,111.58,118.53,111.04,114.02,1629741.0
2020-04-08,114.57,122.01,114.04,121.25,1061753.0
2020-04-09,120.82,130.47,120.72,127.37,1543912.0
2020-04-13,124.96,126.02,118.65,120.07,833486.0
2020-04-14,123.51,124.99,119.91,122.37,639232.0
2020-04-15,119.52,119.53,117.06,117.38,739496.0
2020-04-16,118.04,120.37,115.08,119.89,848225.0
2020-04-17,122.58,125.45,122.48,125.12,761024.0
2020-04-20,123.28,126.03,120.14,120.55,937840.0
2020-04-21,117.32,122.97,117.14,122.17,710438.0
2020-04-22,124.55,125.79,122.5,124.28,652495.0
2020-04-23,125.57,127.99,122.73,123.16,629610.0
2020-04-24,124.38,126.87,122.45,126.49,567419.0
2020-04-27,125.82,131.17,125.82,130.54,530228.0
2020-04-28,132.0,134.54,130.93,131.71,839601.0
2020-04-29,135.0,135.89,133.23,133.3,707613.0
2020-04-30,131.43,132.83,130.73,131.03,1131298.0
2020-05-01,128.96,129.64,125.0,126.63,568788.0
2020-05-04,126.92,128.19,124.83,127.9,801158.0
2020-05-05,129.36,132.88,128.26,128.9,970600.0
2020-05-06,129.24,133.67,128.35,131.31,915515.0
2020-05-07,132.62,133.08,129.89,130.28,807688.0
2020-05-08,133.13,135.0,131.43,134.47,506129.0
2020-05-11,133.99,133.99,131.27,132.63,968542.0
2020-05-12,139.24,143.09,133.12,133.33,2112425.0
2020-05-13,132.1,133.23,127.33,129.34,1095634.0
2020-05-14,127.44,127.69,122.7,126.05,1893455.0
2020-05-15,125.04,130.13,124.64,128.22,1113989.0
2020-05-18,131.6,134.68,131.56,131.9,1275183.0
2020-05-19,130.9,132.12,127.88,128.84,946671.0
2020-05-20,130.42,131.97,129.25,130.28,834662.0
2020-05-21,129.42,131.76,128.83,128.98,932393.0
2020-05-22,128.43,129.71,125.74,129.42,889050.0
2020-05-26,132.95,136.68,132.47,133.13,969115.0
2020-05-27,134.55,137.17,134.21,136.23,806166.0
2020-05-28,138.0,138.0,132.73,134.3,891254.0
2020-05-29,133.97,133.97,131.55,133.19,1589557.0
2020-06-01,132.36,132.99,130.95,131.02,801442.0
2020-06-02,130.94,135.26,130.52,133.93,859436.0
2020-06-03,135.77,138.01,135.73,136.81,736956.0
2020-06-04,135.96,137.53,134.37,135.76,815107.0
2020-06-05,138.5,139.0,137.1,137.86,974226.0
2020-06-08,134.41,136.61,133.35,135.57,1031421.0
2020-06-09,134.25,135.88,131.91,134.57,1083733.0
2020-06-10,134.43,135.09,132.11,133.52,1379732.0
2020-06-11,131.39,131.67,125.68,126.25,1321393.0
2020-06-12,129.83,130.19,124.53,126.85,720636.0
2020-06-15,123.97,128.04,123.66,127.34,780047.0
2020-06-16,131.66,132.79,127.09,129.05,962885.0
2020-06-17,130.57,131.15,128.22,128.65,470336.0
2020-06-18,127.81,129.68,127.33,128.53,666333.0
2020-06-19,130.86,131.62,125.91,126.09,1273840.0
2020-06-22,124.96,126.72,122.85,125.07,1181122.0
2020-06-23,126.72,126.72,123.07,123.31,886077.0
2020-06-24,121.17,123.81,119.6,122.07,1121207.0
2020-06-25,121.9,122.67,120.05,122.4,693567.0
2020-06-26,121.88,121.88,118.89,119.05,858718.0
2020-06-29,120.08,123.42,119.73,121.88,686385.0
2020-06-30,121.6,123.18,120.0,122.46,1085375.0
2020-07-01,122.0,124.35,121.7,124.17,818462.0
2020-07-02,125.86,127.49,125.38,126.88,960345.0
2020-07-06,127.81,128.78,125.83,128.2,876554.0
2020-07-07,127.2,128.07,125.89,127.05,694163.0
2020-07-08,126.91,128.11,122.08,123.37,968398.0
2020-07-09,123.6,123.84,120.16,122.3,1100827.0
2020-07-10,122.87,125.54,121.83,125.25,520592.0
2020-07-13,126.32,127.16,124.29,124.52,778138.0
2020-07-14,124.65,127.41,124.49,127.01,610962.0
2020-07-15,128.87,130.36,128.33,129.72,595914.0
2020-07-16,129.29,130.64,128.57,129.61,517585.0
2020-07-17,130.43,132.31,129.3,130.99,774798.0
2020-07-20,131.0,131.31,127.41,128.72,1306094.0
2020-07-21,129.25,129.9,127.71,127.94,541952.0
2020-07-22,128.48,129.995,127.64,128.55,547923.0
2020-07-23,128.72,130.56,127.2,128.49,834543.0
2020-07-24,128.64,128.795,125.52,126.82,781359.0
2020-07-27,127.18,129.16,126.13,128.79,702124.0
2020-07-28,128.78,129.805,127.48,128.34,827067.0
2020-07-29,128.82,129.9799,128.14,128.24,804549.0
2020-07-30,126.67,126.91,123.43,124.49,915337.0
2020-07-31,124.29,126.04,122.41,125.95,1081235.0
2020-08-03,126.22,126.22,124.17,124.54,1060057.0
2020-08-04,123.47,126.8,122.15,125.89,810899.0
2020-08-05,126.97,128.8,126.33,126.42,973678.0
2020-08-06,125.98,126.5,125.175,125.38,761433.0
2020-08-07,125.57,126.96,124.4,126.8,664333.0
2020-08-10,126.6,130.88,126.6,130.55,1188725.0
2020-08-11,131.6,132.75,125.06,125.29,2052569.0
2020-08-12,126.93,128.89,126.14,127.0,797339.0
2020-08-13,125.47,125.71,123.58,123.81,878758.0
2020-08-14,123.21,124.24,122.55,123.17,530491.0
2020-08-17,123.62,124.44,122.57,123.29,434337.0
2020-08-18,123.31,124.602,122.2001,122.62,612915.0
2020-08-19,123.27,123.27,121.69,121.98,417481.0
2020-08-20,120.94,121.23,119.65,120.69,852949.0
